ingles,traducao_pt
restart it and get on it,Liga de novo e volta pra pista
we're seeing a low oil pressure warning,Temos alerta de baixa pressão de óleo
looks like you got oil pressure issues here,Parece que tá com problema na pressão do óleo
we're seeing a low oil pressure warning here,Alerta de baixa pressão de óleo aqui
looks like we got oil pressure issues,Parece problema na pressão do óleo
"we're seeing low oil pressure, better keep an eye on it","Pressão de óleo tá baixa, melhor ficar de olho"
your engine temperatures are looking better now,Temperaturas do motor estão melhores agora
"your engine temperatures are okay, all clear on engine temperatures","Temperatura do motor em ordem, tudo certo"
your engine temperatures are now back to normal,Temperatura do motor voltou ao normal
if you don't cool this engine you're really gonna fuck it up,"Se não esfriar esse motor, vai detonar tudo"
"your water and your oil are both looking pretty hot right now, try and take it easy","Água e óleo estão bem quentes, tenta aliviar um pouco"
"your oil and water temperatures are both high, you might need to take it easy for a bit","Temperaturas de óleo e água estão altas, reduz um pouco"
"your oil and water temperatures are high, you need to back off a little","Óleo e água estão quentes, tira o pé um pouco"
your oil temp is,A temperatura do óleo tá em
sector 3 time is quick,Tempo de setor três tá rápido
sector 3 time's okay,Setor três está ok
sector 3 time is fast,Setor três tá veloz
all 3 sectors are a tenth off your best,Todos os três setores estão um décimo abaixo do melhor
you're one tenth off your best in all 3 sectors,Um décimo abaixo do melhor em todos os três setores
you're a tenth off your best in all 3 sectors,Um décimo abaixo em todos os setores
you need to get back on it,Precisa voltar a forçar
we really need to pick it up,Precisamos apertar agora
it's not good at the moment,Nesse ritmo não tá bom
you're less than a tenth off a second off your best,Tá menos de um décimo de um segundo fora do melhor
you're less than a tenth off your own pace,Menos de um décimo fora do ritmo ideal
you're less than a tenth off your best,Menos de um décimo abaixo do melhor
you're quickest in your class,Você é o mais rápido da sua categoria
your lap times are improving,Suas voltas estão melhorando
"your lap times are improving, this is good","Tempos melhorando, isso é bom!"
"your lap times are improving, this is exactly what we need","Tá melhorando, exatamente o que precisamos"
you're quickest overall,É o mais rápido da sessão
sectors 1 and 3 are fast,Setores um e três estão rápidos
sectors 1 and 3 are looking quick,Setores um e três estão fortes
sectors 1 and 3 are good,Setores um e três estão bons
"good lap, that's your quickest so far","Boa volta, sua melhor até agora"
"good lap, that's your quickest today","Boa volta, sua melhor hoje"
that's your quickest lap in this session,Sua volta mais rápida da sessão
that's your quickest lap,Sua volta mais rápida
"good lap, that's your best in the session","Boa volta, melhor da sessão"
that's your best lap in this session,Melhor volta da sessão
that's your fastest lap today,Volta mais rápida do dia
that's your fastest lap,Volta mais rápida
sector 2 is 2 tenths off your best,Setor dois está dois décimos abaixo do melhor
you're 2 tenths off your best in sector 2,Dois décimos abaixo no setor dois
you're a second off your best in sectors 1 and 3,Um segundo abaixo no um e três
sectors 1 and 3 are a second off your best,Um e três estão a um segundo do melhor
all 3 sectors are a about a second off the pace,Todos os três setores estão cerca de um segundo abaixo
you're a second down in all 3 sectors,Um segundo mais lento em todos os três setores
all 3 sectors are a second off the pace,Os três setores estão um segundo abaixo do ritmo
pace is okay,Ritmo está ok
your pace is all right,Seu ritmo está aceitável
sectors 1 and 3 are 1 tenth off your best,Setores um e três estão a um décimo do melhor
sectors 1 and 3 are a tenth off your best,Setores um e três a um décimo abaixo
your lap time was a,Sua volta foi de
that lap was a,Essa volta foi de
that was a,Essa foi de
you've just done a,Você acabou de cravar
that last lap was a,Sua última volta foi de
that lap time was,Tempo da última volta foi de
your last lap time was a,Seu último tempo foi de
your lap time was,Seu tempo de volta foi
you're a second off in sector one,Um segundo mais lento no setor um
you're a second off the pace in sector one,Um segundo abaixo do ritmo no setor um
sector 3 is 2 tenths off your best,Setor três dois décimos mais lento que sua melhor marca
you're 2 tenths off your best in sector 3,Dois décimos abaixo no setor três
you're a second down in sector 3,Um segundo atrás no setor três
sector 3 is a second off the pace,Setor três tá um segundo fora do ritmo
you're a second off the pace in sector 3,Um segundo abaixo do ritmo no setor três
sector 2 time is okay,Setor dois razoável
sector 2 time is good,Setor dois bom
your sector 2 time is quick,Seu setor dois foi rápido
good lap,Boa volta
that's a decent lap,Volta decente
nice lap,Volta limpa
"decent lap, but you can go quicker","Boa, mas dá pra virar melhor"
sector 1 is two tenths off your best,Setor um tá dois décimos abaixo do seu melhor
you're 2 tenths off your best in sector 1,Dois décimos abaixo no setor um
you're a second off your best in sector 2,Um segundo abaixo do seu melhor no setor dois
sector 2 is a second off your best,Setor dois tá um segundo abaixo da melhor marca
sectors 2 and 3 are,Setores dois e três estão
quicker than second,Mais rápidos que o segundo lugar
ahead of P2,À frente do Pê dois
quicker than second place,Mais veloz que o segundo colocado
that's the quickest lap for your class,Essa foi a volta mais rápida da sua classe
that's the best lap in your class,Melhor volta da sua categoria
you're a few tenths off the pace in all sectors,Tá a alguns décimos do ritmo em todos os setores
you're a few tenths off the pace in all 3 sectors,Alguns décimos fora do ritmo nos três setores
all 3 sectors are a few tenths off,Os três setores estão um pouco abaixo
you're a tenth down in sectors 1 and 3,Um décimo atrás nos setores um e três
you're a tenth off the pace in sectors 1 and 3,Um décimo fora do ritmo nos setores um e três
sectors 1 and 3 are a tenth off the pace,Setores um e três estão um décimo abaixo do ideal
fastest lap,Volta mais rápida
that's the fastest lap of the race,Volta mais rápida da corrida
that's the fastest lap,Essa é a melhor volta
we're matching race pace,Tamo no ritmo da prova
you're matching race pace,Você tá igualando o ritmo da corrida
"you're matching race pace, this is good","Ritmo de prova igualado, tá bom assim"
sectors 1 and 2 are fastest,Setores um e dois estão voando
sectors 1 and 2 are the quickest,Setores um e dois são os mais rápidos agora
you're purple in sectors 1 and 2,Roxo nos setores um e dois
we need to shave off a second or so,A gente precisa tirar cerca de um segundo
we need to find a second,Precisamos achar um segundo aí
you need to find a tenth in sector 3,Precisa achar um décimo no setor três
you're a tenth off the pace in sector 3,Tá um décimo abaixo no setor três
sector 3 is a tenth off the pace,Setor três tá um décimo fora
you've gone purple in sectors 2 and 3,Você cravou roxo nos setores dois e três
sectors 2 and 3 are fastest,Dois e três são os mais rápidos
you're quickest in sector 2 and 3,Você tá mais rápido nos setores dois e três
we need to find just one more tenth,Falta só um décimo
"just one more tenth, that's all we need","Só falta um décimo, é isso que precisamos"
we need one more tenth a lap,A gente precisa tirar um décimo por volta
sector 2 is 2 tenths off the pace,Setor dois tá dois décimos fora do ritmo
you're 2 tenths off the pace in sector 2,Dois décimos abaixo no setor dois
sector 3 is a tenth off your best,Setor três tá um décimo mais lento que seu melhor
sector 3 is 2 tenths off the pace,Setor três tá dois décimos abaixo do ritmo
you're 2 tenths off the pace in sector 3,Dois décimos fora do ritmo no setor três
you're 2 tenths down in sectors 1 and 3,Dois décimos mais lento nos setores um e três
sectors 1 and 3 are 2 tenths off the pace,Setores um e três estão dois décimos abaixo
you're 2 tenths off the pace in sectors 1 and 3,Dois décimos abaixo do ritmo nos setores um e três
you're 2 tenths off the pace in sector 1,Dois décimos fora do ritmo no setor um
we need to find a few tenths,A gente precisa achar alguns décimos
we need to shave off a few tenths,Precisamos tirar alguns décimos
we need to find a few more tenths,Precisamos encontrar mais alguns décimos
that puts you,Isso te coloca
you're now,Agora você tá
you're currently,Você tá atualmente
you're a second off your best in sector 1,Um segundo abaixo do seu melhor no setor um
sector 1 is a second off your best,Setor um tá um segundo abaixo do seu melhor
sector 1 is a second off your own best,Setor um tá um segundo abaixo do seu próprio tempo
sector 1 is,Setor um está
you're a tenth off the pace in sector 1,Um décimo abaixo do ritmo no setor um
you're a tenth off in sector 1,Um décimo mais lento no setor um
off the pace,Fora do ritmo
off the leader's pace,Abaixo do ritmo do líder
you're fastest in sector 1,Você foi o mais rápido no setor um
you're times are good in all 3 sectors,Tempos bons nos três setores
all 3 sectors are pretty quick,Os três setores tão bem consistentes
sector 3 is a second off your best,Setor três tá um segundo abaixo do seu melhor
you're a second off your best in sector 3,Um segundo mais lento que sua melhor volta no setor três
sector 2 and 3 are a second off the pace,Setores dois e três estão um segundo abaixo do ritmo
you're losing a second in sectors 2 and 3,Tá perdendo um segundo nos setores dois e três
you're a second down in sectors 2 and 3,Um segundo atrás nos setores dois e três
sector 3 is,Setor três está
sectors 2 and 3 are a tenth off the pace,Setores dois e três estão um décimo abaixo do ritmo
you're losing a tenth in sectors 2 and 3,Tá perdendo um décimo nos setores dois e três
sectors 2 and 3 are a tenth down,Dois e três estão um décimo atrás
we're quickest right now,Somos os mais rápidos agora
we're current setting the pace,A gente tá ditando o ritmo da prova
we're setting the pace,Tamo puxando o ritmo
we're quickest at the moment,Tamo no topo do cronômetro agora
you're a second off the pace in sectors 1 and 3,Um segundo fora do ritmo nos setores um e três
you're a second down in sectors 1 and 3,Um segundo atrás nos setores um e três
sectors 1 and 3 are a second off the pace,Setores um e três estão um segundo abaixo do ideal
sectors 1 and 2 are 2 tenths off the pace,Setores um e dois estão dois décimos abaixo do ritmo
you're 2 tenths off the pace in sectors 1 and 2,Dois décimos abaixo nos setores um e dois
you're losing 2 tenths in sectors 1 and 2,Perdendo dois décimos nos setores um e dois
sector 2 is,Setor dois está
"good consistency, keep 'em coming","Boa constância, segue virando assim"
"that's good consistency, keep it up","Ritmo bem constante, mantém assim"
your lap times are pretty consistent,Seus tempos de volta estão bem consistentes
you're fastest overall in sectors 1 and 3,Você foi o mais rápido no geral nos setores um e três
sectors 1 and 3 are fastest,Setores um e três foram os mais rápidos
sectors 1 and 3 are purple,"Setores um e três, roxo"
all 3 sectors are 2 tenths off your best,Os três setores estão dois décimos abaixo do seu melhor
you're 2 tenths off your best in all 3 sectors,Você tá dois décimos abaixo do seu melhor nos três setores
sector 2 and 3 are pretty good,Setores dois e três tão bons
sector 2 and 3 are fast,Setores dois e três tão rápidos
your sector 2 and 3 times are good,Seus tempos nos setores dois e três tão bons
sectors 1 and 2 are,Setores um e dois tão
you're quickest in sector 3,Você foi o mais rápido no setor três
you're fastest in sector 3,Setor três foi o mais rápido
quickest in sector 3,Mais rápido no setor três
you're a second off your best in all 3 sectors,Um segundo abaixo do seu melhor nos três setores
you're a second down on your best in all 3 sectors,Um segundo atrás do seu melhor nos três setores
all 3 sectors are a second off your best,Os três setores tão um segundo abaixo do seu melhor
we need to find more than a second a lap,Precisamos tirar mais de um segundo por volta
we need to improve by more than a second a lap,A gente tem que melhorar mais de um segundo por volta
we need more than a second a lap here,Precisamos de mais de um segundo por volta aqui
sectors 1 and 2 are fast,Setores um e dois tão rápidos
sectors 1 and 2 are quick,Setores um e dois tão fortes
your pace is good in sectors 1 and 2,Seu ritmo tá bom nos setores um e dois
sectors 1 and 2 are 2 tenths off your best,Setores um e dois estão dois décimos abaixo do melhor
you're 2 tenths off your best in sectors 1 and 2,Você tá dois décimos abaixo do melhor nos setores um e dois
you're a second off the pace in sector 2,Um segundo abaixo do ritmo no setor dois
sector 2 is a second off the pace,Setor dois tá um segundo abaixo do ritmo
pace is perfect,Ritmo perfeito
pace is really good,Ritmo tá muito bom
pace is good,Ritmo bom
pace is great,Ritmo ótimo
you're 2 tenths off your best in sectors 1 and 3,Dois décimos abaixo do melhor nos setores um e três
sectors 1 and 3 are 2 tenths off your best,Setores um e três estão dois décimos abaixo do melhor
sectors 2 and 3 are 1 tenth off your best,Setores dois e três estão um décimo abaixo do melhor
sectors 2 and 3 are a tenth off your best,Setores dois e três estão um décimo abaixo da melhor marca
all 3 sectors are a tenth off the pace,Os três setores tão um décimo abaixo do ritmo
you're a tenth off the pace in all 3 sectors,Você tá um décimo abaixo do ritmo nos três setores
slower than your best,Mais lento que seu melhor
off your best,Abaixo do seu melhor
sector 1 time is quick,Setor um foi rápido
sector 1 time's okay,Setor um tá ok
sector 1 time is good,Setor um foi bom
sectors 1 and 2 are 1 tenth off your best,Setores um e dois estão um décimo abaixo do melhor
sectors 1 and 2 are a tenth off your best,Setores um e dois estão um décimo abaixo da referência
you're a second off your best in sectors 2 and 3,Um segundo abaixo do seu melhor nos setores dois e três
sectors 2 and 3 are a second off your best,Setores dois e três estão um segundo abaixo do seu melhor
sectors 2 and 3 are 2 tenths off your best,Setores dois e três estão dois décimos abaixo do seu melhor
you're 2 tenths off your best in sectors 2 and 3,Você tá dois décimos abaixo do melhor nos setores dois e três
all 3 sectors are,Os três setores estão
sectors 2 and 3 are 2 tenths down,Setores dois e três estão dois décimos abaixo
you're losing 2 tenths in sectors 2 and 3,Tá perdendo dois décimos nos setores dois e três
sectors 2 and 3 are 2 tenths off the pace,Setores dois e três estão dois décimos abaixo do ritmo
sector 2 is 1 tenth off your best,Setor dois tá um décimo abaixo do melhor
sector 2 is a tenth off your best,Setor dois tá um décimo abaixo da melhor marca
you're a tenth off the pace in sector 2,Você tá um décimo abaixo do ritmo no setor dois
we need to find a tenth in sector 2,Precisamos achar um décimo no setor dois
all 3 sectors are the quickest,Todos os três setores foram os mais rápidos
you've gone purple in all 3 sectors,Roxo nos três setores
all 3 sectors are fastest,Todos os setores foram os mais velozes
you're more than a second down in all 3 sectors,Tá mais de um segundo atrás em todos os setores
you're more than a second off the pace in all 3 sectors,Mais de um segundo fora do ritmo nos três setores
all 3 sectors are more than a second off the pace,Os três setores estão mais de um segundo fora do ritmo
sectors 1 and 2 are a tenth off the pace,Setores um e dois estão um décimo abaixo do ritmo
you're a tenth down in sectors 1 and 2,Tá um décimo atrás nos setores um e dois
sectors 1 and 2 are a tenth down,Setores um e dois estão um décimo abaixo
sectors 1 and 3 are,Setores um e três tão
sectors 1 and 2 are a second off the pace,Setores um e dois estão um segundo abaixo do ritmo
you're a second off the pace in sectors 1 and 2,Um segundo fora do ritmo nos setores um e dois
you're a second down in sectors 1 and 2,Tá um segundo atrás nos setores um e dois
you're a second off your best in sectors 1 and 2,Um segundo abaixo do seu melhor nos setores um e dois
sectors 1 and 2 are a second off your best,Setores um e dois estão um segundo abaixo da sua melhor marca
sector 2 is fastest,Setor dois foi o mais rápido
you're quickest in sector 2,Você foi o mais rápido no setor dois
you're less than a tenth off the pace,Menos de um décimo fora do ritmo
sector 1 is a tenth off your best,Setor um tá um décimo abaixo do seu melhor
sector 1 is a tenth off your pace,Setor um tá um décimo abaixo do seu ritmo
"your lap times are dropping off, come on, you can do better than this","Seus tempos tão caindo, vamo lá, dá pra mais!"
"your lap times are increasing, come on, keep your focus","Os tempos tão subindo, foca aí!"
"your lap times are dropping off, come on, stay focused","Os tempos tão caindo, concentra!"
"your lap times have gone to crap, come on, sort it out","Seus tempos foram pro saco, resolve isso aí!"
"your lap times are increasing, come on, get back on it","Os tempos tão piorando, vamo reagir!"
you're 2 tenths down in all 3 sectors,Você tá dois décimos atrás nos três setores
all 3 sectors are 2 tenths off the pace,Os três setores estão dois décimos fora do ritmo
"just 2 minutes left, 2 minutes to go","Faltam só dois minutos, dois minutos pra acabar!"
"2 minutes to go, 2 minutes","Dois minutos pra acabar, dois minutos!"
"that's 2 minutes left, 2 minutes","Dois minutos restantes, dois minutos!"
remaining,Restando
to go,Pra acabar
less than a minute,Menos de um minuto
less than 1 minute,Menos de um minuto
laps to go,Voltas restantes
laps remaining,Voltas restantes
laps left,Voltas restantes
1 more remaining after this one,Mais uma depois dessa
1 more lap after this one,Uma volta a mais depois dessa
1 more to go after this,Falta uma depois dessa
we're half-way home,Tamo na metade
that's half-way,Metade da corrida
you're half-way home,Você tá na metade
that's half-distance,Metade do caminho
we're at the half-way point,Chegamos na metade
